path,set,subclass,projection,study_uid,primary_label,admitted,admission_reason_code,modality_score
ml\outputs\calibration\sets\frontal\3486_IM-1695-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3486.0,Other Abnormality,True,,0.9999988703562133
ml\outputs\calibration\sets\frontal\741_IM-2297-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,741.0,Normal,True,,0.9999748723757611
ml\outputs\calibration\sets\frontal\3189_IM-1505-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3189.0,Other Abnormality,True,,0.9992312207069871
ml\outputs\calibration\sets\frontal\560_IM-2161-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,560.0,Normal,True,,0.9999724119621848
ml\outputs\calibration\sets\frontal\3137_IM-1476-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3137.0,Calcinosis/Atherosclerosis,True,,0.9999589821742398
ml\outputs\calibration\sets\frontal\3195_IM-1506-0001-0002.dcm.png,positive,chest_radiograph_frontal,Frontal,3195.0,Support Devices,True,,0.99994900494309
ml\outputs\calibration\sets\frontal\3826_IM-1932-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3826.0,Normal,True,,0.9999971212095097
ml\outputs\calibration\sets\frontal\2036_IM-0680-4001.dcm.png,positive,chest_radiograph_frontal,Frontal,2036.0,Atelectasis,True,,0.9970445243857395
ml\outputs\calibration\sets\frontal\3611_IM-1784-0001-0001.dcm.png,positive,chest_radiograph_frontal,Frontal,3611.0,Degenerative/Bone,True,,0.999904913116661
ml\outputs\calibration\sets\frontal\2631_IM-1118-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2631.0,Support Devices,True,,0.9984122273365399
ml\outputs\calibration\sets\frontal\430_IM-2071-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,430.0,Normal,True,,0.999956666486348
ml\outputs\calibration\sets\frontal\3682_IM-1834-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3682.0,Other Abnormality,True,,0.999957307519338
ml\outputs\calibration\sets\frontal\2367_IM-0928-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2367.0,Normal,True,,0.999979205442541
ml\outputs\calibration\sets\frontal\2920_IM-1323-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2920.0,Normal,True,,0.9999699270817228
ml\outputs\calibration\sets\frontal\2712_IM-1179-2001.dcm.png,positive,chest_radiograph_frontal,Frontal,2712.0,Granuloma,True,,0.9999979369542515
ml\outputs\calibration\sets\frontal\2490_IM-1017-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2490.0,Granuloma,True,,0.9999848418974069
ml\outputs\calibration\sets\frontal\899_IM-2407-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,899.0,Normal,True,,0.9997426412737844
ml\outputs\calibration\sets\frontal\2759_IM-1207-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2759.0,Other Abnormality,True,,0.99996902988325
ml\outputs\calibration\sets\frontal\3165_IM-1490-13013.dcm.png,positive,chest_radiograph_frontal,Frontal,3165.0,Degenerative/Bone,True,,0.9997259494258919
ml\outputs\calibration\sets\frontal\3766_IM-1885-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3766.0,Degenerative/Bone,True,,0.9997746342737869
ml\outputs\calibration\sets\frontal\2981_IM-1371-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2981.0,Degenerative/Bone,True,,0.9999808103058647
ml\outputs\calibration\sets\frontal\1729_IM-0480-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1729.0,Emphysema/COPD,True,,0.9999993287475168
ml\outputs\calibration\sets\frontal\2623_IM-1111-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2623.0,Normal,True,,0.9999972583528907
ml\outputs\calibration\sets\frontal\3045_IM-1418-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3045.0,Normal,True,,0.9999873902479818
ml\outputs\calibration\sets\frontal\2728_IM-1187-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2728.0,Edema/Congestion,True,,0.9999452862325526
ml\outputs\calibration\sets\frontal\3408_IM-1648-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3408.0,Degenerative/Bone,True,,0.9999537160009773
ml\outputs\calibration\sets\frontal\2439_IM-0978-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2439.0,Emphysema/COPD,True,,0.9999957124644112
ml\outputs\calibration\sets\frontal\2891_IM-1294-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2891.0,Hernia/Diaphragm,True,,0.9904131551942067
ml\outputs\calibration\sets\frontal\3243_IM-1535-0001-0001.dcm.png,positive,chest_radiograph_frontal,Frontal,3243.0,Lung Opacity,True,,0.9941921043183565
ml\outputs\calibration\sets\frontal\3642_IM-1806-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3642.0,Other Abnormality,True,,0.9999235741379168
ml\outputs\calibration\sets\frontal\2131_IM-0755-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2131.0,Normal,True,,0.9999983051426891
ml\outputs\calibration\sets\frontal\287_IM-1276-4004.dcm.png,positive,chest_radiograph_frontal,Frontal,287.0,Normal,True,,0.9999956124881522
ml\outputs\calibration\sets\frontal\2671_IM-1148-1001-0002.dcm.png,positive,chest_radiograph_frontal,Frontal,2671.0,Other Abnormality,True,,0.9999777039023408
ml\outputs\calibration\sets\frontal\3103_IM-1454-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3103.0,Hernia/Diaphragm,True,,0.9999897586209129
ml\outputs\calibration\sets\frontal\3247_IM-1538-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3247.0,Normal,True,,0.9999557904768263
ml\outputs\calibration\sets\frontal\2580_IM-1078-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2580.0,Scarring,True,,0.9999990364978453
ml\outputs\calibration\sets\frontal\3600_IM-1776-4004.dcm.png,positive,chest_radiograph_frontal,Frontal,3600.0,Scarring,True,,0.9999938473357286
ml\outputs\calibration\sets\frontal\1676_IM-0445-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1676.0,Emphysema/COPD,True,,0.9999954558720806
ml\outputs\calibration\sets\frontal\1994_IM-0651-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1994.0,Normal,True,,0.9999611116354875
ml\outputs\calibration\sets\frontal\3069_IM-1432-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3069.0,Pneumonia,True,,0.9999979352515181
ml\outputs\calibration\sets\frontal\2544_IM-1054-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2544.0,Cardiomegaly,True,,0.9999677411585592
ml\outputs\calibration\sets\frontal\2578_IM-1078-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2578.0,Degenerative/Bone,True,,0.9999626094068004
ml\outputs\calibration\sets\frontal\3798_IM-1911-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3798.0,Lung Opacity,True,,0.9999933412641374
ml\outputs\calibration\sets\frontal\986_IM-2473-2002.dcm.png,positive,chest_radiograph_frontal,Frontal,986.0,Normal,True,,0.9999991963675431
ml\outputs\calibration\sets\frontal\3430_IM-1659-4004.dcm.png,positive,chest_radiograph_frontal,Frontal,3430.0,Edema/Congestion,True,,0.9998567294708987
ml\outputs\calibration\sets\frontal\1534_IM-0345-4004.dcm.png,positive,chest_radiograph_frontal,Frontal,1534.0,Degenerative/Bone,True,,0.9995206079895878
ml\outputs\calibration\sets\frontal\3406_IM-1647-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3406.0,Granuloma,True,,0.9999738085493394
ml\outputs\calibration\sets\frontal\3987_IM-2041-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3987.0,Degenerative/Bone,True,,0.9998904071001615
ml\outputs\calibration\sets\frontal\3581_IM-1761-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3581.0,Degenerative/Bone,True,,0.9999955727910272
ml\outputs\calibration\sets\frontal\3454_IM-1677-3001.dcm.png,positive,chest_radiograph_frontal,Frontal,3454.0,Support Devices,True,,0.999990004953906
ml\outputs\calibration\sets\frontal\2161_IM-0779-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2161.0,Normal,True,,0.9999731067736531
ml\outputs\calibration\sets\frontal\3457_IM-1678-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3457.0,Degenerative/Bone,True,,0.9999757842907616
ml\outputs\calibration\sets\frontal\3117_IM-1465-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3117.0,Normal,True,,0.9993136333808254
ml\outputs\calibration\sets\frontal\3013_IM-1391-0001-0001.dcm.png,positive,chest_radiograph_frontal,Frontal,3013.0,Cardiomegaly,True,,0.9999979948386134
ml\outputs\calibration\sets\frontal\2223_IM-0827-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2223.0,Normal,True,,0.9997217389589903
ml\outputs\calibration\sets\frontal\943_IM-2439-5005.dcm.png,positive,chest_radiograph_frontal,Frontal,943.0,Normal,True,,0.9999802987008191
ml\outputs\calibration\sets\frontal\3807_IM-1917-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3807.0,Other Abnormality,True,,0.999974271052636
ml\outputs\calibration\sets\frontal\1384_IM-0246-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1384.0,Normal,True,,0.9999985317817962
ml\outputs\calibration\sets\frontal\3662_IM-1821-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3662.0,Calcinosis/Atherosclerosis,True,,0.9999504715363955
ml\outputs\calibration\sets\frontal\1944_IM-0613-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1944.0,Calcinosis/Atherosclerosis,True,,0.9999994944241755
ml\outputs\calibration\sets\frontal\3803_IM-1913-3001.dcm.png,positive,chest_radiograph_frontal,Frontal,3803.0,Emphysema/COPD,True,,0.9999826467228673
ml\outputs\calibration\sets\frontal\3690_IM-1841-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3690.0,Cardiomegaly,True,,0.9999011229123377
ml\outputs\calibration\sets\frontal\3814_IM-1923-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3814.0,Normal,True,,0.9999967862530108
ml\outputs\calibration\sets\frontal\3467_IM-1684-0001-0001.dcm.png,positive,chest_radiograph_frontal,Frontal,3467.0,Calcinosis/Atherosclerosis,True,,0.9999967947804006
ml\outputs\calibration\sets\frontal\496_IM-2114-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,496.0,Normal,True,,0.9996240538609132
ml\outputs\calibration\sets\frontal\1267_IM-0179-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1267.0,Normal,True,,0.9994450135680096
ml\outputs\calibration\sets\frontal\2014_IM-0664-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2014.0,Other Abnormality,True,,0.9999975610294227
ml\outputs\calibration\sets\frontal\3471_IM-1687-2002.dcm.png,positive,chest_radiograph_frontal,Frontal,3471.0,Hernia/Diaphragm,True,,0.9999839695250445
ml\outputs\calibration\sets\frontal\2434_IM-0976-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2434.0,Scarring,True,,0.9999975614982965
ml\outputs\calibration\sets\frontal\2517_IM-1036-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2517.0,Normal,True,,0.9999705946053153
ml\outputs\calibration\sets\frontal\3028_IM-1403-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3028.0,Calcinosis/Atherosclerosis,True,,0.999969377269106
ml\outputs\calibration\sets\frontal\238_IM-0939-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,238.0,Normal,True,,0.9999932721202158
ml\outputs\calibration\sets\frontal\3891_IM-1973-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3891.0,Pneumothorax,True,,0.9993327172993028
ml\outputs\calibration\sets\frontal\2467_IM-0997-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2467.0,Lung Opacity,True,,0.9999576159641729
ml\outputs\calibration\sets\frontal\2865_IM-1273-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2865.0,Support Devices,True,,0.9999977909740251
ml\outputs\calibration\sets\frontal\1645_IM-0422-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1645.0,Lung Opacity,True,,0.9999965003002538
ml\outputs\calibration\sets\frontal\3553_IM-1741-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3553.0,Normal,True,,0.9999610043181902
ml\outputs\calibration\sets\frontal\3232_IM-1529-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3232.0,Nodule/Mass,True,,0.99999477272934
ml\outputs\calibration\sets\frontal\3765_IM-1884-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3765.0,Normal,True,,0.9999680079240789
ml\outputs\calibration\sets\frontal\3477_IM-1690-3001.dcm.png,positive,chest_radiograph_frontal,Frontal,3477.0,Normal,True,,0.9999650108565122
ml\outputs\calibration\sets\frontal\727_IM-2287-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,727.0,Normal,True,,0.999948422851187
ml\outputs\calibration\sets\frontal\951_IM-2447-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,951.0,Normal,True,,0.9999890379779415
ml\outputs\calibration\sets\frontal\3983_IM-2039-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3983.0,Atelectasis,True,,0.9996468080376886
ml\outputs\calibration\sets\frontal\1615_IM-0398-4004.dcm.png,positive,chest_radiograph_frontal,Frontal,1615.0,Normal,True,,0.9999761659005799
ml\outputs\calibration\sets\frontal\3363_IM-1616-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3363.0,Support Devices,True,,0.9999606711575957
ml\outputs\calibration\sets\frontal\3424_IM-1656-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3424.0,Granuloma,True,,0.9989855823436726
ml\outputs\calibration\sets\frontal\1758_IM-0495-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1758.0,Other Abnormality,True,,0.9994589565133511
ml\outputs\calibration\sets\frontal\2384_IM-0942-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2384.0,Hernia/Diaphragm,True,,0.9999379787717982
ml\outputs\calibration\sets\frontal\2275_IM-0862-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2275.0,Nodule/Mass,True,,0.999991973012586
ml\outputs\calibration\sets\frontal\2844_IM-1254-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2844.0,Degenerative/Bone,True,,0.9999848833002953
ml\outputs\calibration\sets\frontal\428_IM-2070-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,428.0,Normal,True,,0.9998593256028978
ml\outputs\calibration\sets\frontal\1685_IM-0449-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1685.0,Other Abnormality,True,,0.9999911899915884
ml\outputs\calibration\sets\frontal\2401_IM-0950-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2401.0,Normal,True,,0.9999822469635806
ml\outputs\calibration\sets\frontal\2457_IM-0989-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2457.0,Normal,True,,0.9999939471580765
ml\outputs\calibration\sets\frontal\1683_IM-0449-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1683.0,Other Abnormality,True,,0.9987265695758989
ml\outputs\calibration\sets\frontal\632_IM-2213-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,632.0,Normal,True,,0.9999755094855527
ml\outputs\calibration\sets\frontal\2960_IM-1354-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2960.0,Normal,True,,0.9999942259688664
ml\outputs\calibration\sets\frontal\110_IM-0067-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,110.0,Normal,True,,0.9999930670048248
ml\outputs\calibration\sets\frontal\2765_IM-1210-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2765.0,Normal,True,,0.9999868278507366
ml\outputs\calibration\sets\frontal\3331_IM-1595-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3331.0,Granuloma,True,,0.9999832413416887
ml\outputs\calibration\sets\frontal\3713_IM-1855-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3713.0,Other Abnormality,True,,0.9999872054913606
ml\outputs\calibration\sets\frontal\2066_IM-0701-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2066.0,Atelectasis,True,,0.9999860890430323
ml\outputs\calibration\sets\frontal\3322_IM-1588-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3322.0,Granuloma,True,,0.999990303505789
ml\outputs\calibration\sets\frontal\3311_IM-1586-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3311.0,Normal,True,,0.9999159342811009
ml\outputs\calibration\sets\frontal\3615_IM-1788-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3615.0,Support Devices,True,,0.9999322689210889
ml\outputs\calibration\sets\frontal\3557_IM-1742-0001-0002.dcm.png,positive,chest_radiograph_frontal,Frontal,3557.0,Pleural Effusion,True,,0.9999830593826913
ml\outputs\calibration\sets\frontal\2447_IM-0983-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2447.0,Calcinosis/Atherosclerosis,True,,0.9999435641075207
ml\outputs\calibration\sets\frontal\2847_IM-1256-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2847.0,Support Devices,True,,0.9999920279601883
ml\outputs\calibration\sets\frontal\2726_IM-1186-2001.dcm.png,positive,chest_radiograph_frontal,Frontal,2726.0,Normal,True,,0.9998945706272505
ml\outputs\calibration\sets\frontal\2636_IM-1121-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2636.0,Other Abnormality,True,,0.9999425502169336
ml\outputs\calibration\sets\frontal\2831_IM-1249-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2831.0,Pneumothorax,True,,0.9985482468133459
ml\outputs\calibration\sets\frontal\2295_IM-0876-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2295.0,Calcinosis/Atherosclerosis,True,,0.999989604461509
ml\outputs\calibration\sets\frontal\3099_IM-1450-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3099.0,Calcinosis/Atherosclerosis,True,,0.9999718629659671
ml\outputs\calibration\sets\frontal\3781_IM-1897-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3781.0,Normal,True,,0.9998802834787371
ml\outputs\calibration\sets\frontal\3415_IM-1650-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3415.0,Atelectasis,True,,0.9999824658019237
ml\outputs\calibration\sets\frontal\2448_IM-0983-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2448.0,Pneumothorax,True,,0.9995463415050573
ml\outputs\calibration\sets\frontal\3120_IM-1466-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3120.0,Degenerative/Bone,True,,0.9999978254720602
ml\outputs\calibration\sets\frontal\1927_IM-0600-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1927.0,Granuloma,True,,0.9999684283159395
ml\outputs\calibration\sets\frontal\1894_IM-0581-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1894.0,Lung Opacity,True,,0.9999993940943487
ml\outputs\calibration\sets\frontal\2616_IM-1106-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2616.0,Hernia/Diaphragm,True,,0.999884430336013
ml\outputs\calibration\sets\frontal\2487_IM-1014-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2487.0,Normal,True,,0.999996204116873
ml\outputs\calibration\sets\frontal\691_IM-2258-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,691.0,Normal,True,,0.9999432434364887
ml\outputs\calibration\sets\frontal\2383_IM-0941-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2383.0,Cardiomegaly,True,,0.9999772039333041
ml\outputs\calibration\sets\frontal\2143_IM-0765-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2143.0,Nodule/Mass,True,,0.9999877271913542
ml\outputs\calibration\sets\frontal\2105_IM-0736-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2105.0,Granuloma,True,,0.9999685744772008
ml\outputs\calibration\sets\frontal\1512_IM-0332-2002.dcm.png,positive,chest_radiograph_frontal,Frontal,1512.0,Normal,True,,0.9999860521505739
ml\outputs\calibration\sets\frontal\1781_IM-0509-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1781.0,Other Abnormality,True,,0.9995617477157488
ml\outputs\calibration\sets\frontal\338_IM-1628-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,338.0,Normal,True,,0.9999092484041681
ml\outputs\calibration\sets\frontal\272_IM-1182-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,272.0,Normal,True,,0.9972223771913776
ml\outputs\calibration\sets\frontal\3327_IM-1593-2001.dcm.png,positive,chest_radiograph_frontal,Frontal,3327.0,Calcinosis/Atherosclerosis,True,,0.9999871970045856
ml\outputs\calibration\sets\frontal\1205_IM-0138-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1205.0,Normal,True,,0.9999150569941528
ml\outputs\calibration\sets\frontal\450_IM-2082-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,450.0,Normal,True,,0.9999973787777
ml\outputs\calibration\sets\frontal\3320_IM-1588-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3320.0,Normal,True,,0.9995001206307219
ml\outputs\calibration\sets\frontal\1950_IM-0618-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1950.0,Normal,True,,0.9999601145707044
ml\outputs\calibration\sets\frontal\2685_IM-1158-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2685.0,Hernia/Diaphragm,True,,0.9999907444802925
ml\outputs\calibration\sets\frontal\2750_IM-1200-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2750.0,Lung Opacity,True,,0.9999686263021516
ml\outputs\calibration\sets\frontal\3785_IM-1898-2001.dcm.png,positive,chest_radiograph_frontal,Frontal,3785.0,Lung Opacity,True,,0.9999854996993673
ml\outputs\calibration\sets\frontal\1814_IM-0527-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1814.0,Normal,True,,0.9999929787120123
ml\outputs\calibration\sets\frontal\24_IM-0949-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,24.0,Normal,True,,0.9995326794655842
ml\outputs\calibration\sets\frontal\3582_IM-1761-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3582.0,Normal,True,,0.9999986873899734
ml\outputs\calibration\sets\frontal\2600_IM-1091-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2600.0,Support Devices,True,,0.9999689094492802
ml\outputs\calibration\sets\frontal\3934_IM-2005-0001.dcm.png,positive,chest_radiograph_frontal,Frontal,3934.0,Fibrosis/Interstitial,True,,0.9999988788982216
ml\outputs\calibration\sets\frontal\3040_IM-1414-12012.dcm.png,positive,chest_radiograph_frontal,Frontal,3040.0,Support Devices,True,,0.9999528435411156
ml\outputs\calibration\sets\frontal\3233_IM-1530-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3233.0,Emphysema/COPD,True,,0.9996845243305224
ml\outputs\calibration\sets\frontal\2115_IM-0744-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2115.0,Normal,True,,0.6544142089498735
ml\outputs\calibration\sets\frontal\3840_IM-1941-2001.dcm.png,positive,chest_radiograph_frontal,Frontal,3840.0,Edema/Congestion,True,,0.99612518933687
ml\outputs\calibration\sets\frontal\492_IM-2112-2002.dcm.png,positive,chest_radiograph_frontal,Frontal,492.0,Normal,True,,0.9999577307525999
ml\outputs\calibration\sets\frontal\518_IM-2131-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,518.0,Normal,True,,0.9999869293152811
ml\outputs\calibration\sets\frontal\2038_IM-0682-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2038.0,Normal,True,,0.9999990094838876
